vin,make,model,year,trim,style,odometer,,,,,,,,,,,,,,,,,,,,,,
2C3CDZBT8FH822793,Dodge,Challenger,2015,R/T Plus,R/T Plus 2dr Coupe,1740,,,,,,,,,,,,,,,,,,,,,,
1GNSKBE05ER246463,Chevrolet,Tahoe,2014,LT,4x4 LT 4dr SUV,21211,,,,,,,,,,,,,,,,,,,,,,
1FA6P8CF3F5309841,Ford,Mustang,2015,GT Premium,GT Premium 2dr Fastback,4420,,,,,,,,,,,,,,,,,,,,,,
2FMDK3JC9DBC70091,Ford,Edge,2013,SEL,SEL 4dr SUV,29413,,,,,,,,,,,,,,,,,,,,,,
1FA6P8CF4F5399730,Ford,Mustang,2015,GT Premium,GT Premium 2dr Fastback,13790,,,,,,,,,,,,,,,,,,,,,,
1FM5K8D8XFGC09224,Ford,Explorer,2015,XLT,XLT 4dr SUV All Wheel Drive,8009,,,,,,,,,,,,,,,,,,,,,,
2C3CDYBT2EH253321,Dodge,Challenger,2014,R/T,R/T 2dr Coupe,29220,,,,,,,,,,,,,,,,,,,,,,
4T1BK1EB7FU168847,Toyota,Avalon,2015,XLE Premium,XLE Premium 4dr Sedan,18793,,,,,,,,,,,,,,,,,,,,,,
KMHTC6AD8DU112550,Hyundai,Veloster,2013,,3dr Coupe,43460,,,,,,,,,,,,,,,,,,,,,,
1G6AB5RX6G0120197,Cadillac,ATS,2016,2.0T Luxury Collection,2.0T Luxury Collection 4dr Sedan,17314,,,,,,,,,,,,,,,,,,,,,,
WBA6B2C55DD128754,BMW,6 Series,2013,650i Gran Coupe,650i Gran Coupe 4dr Sedan,53833,,,,,,,,,,,,,,,,,,,,,,
WMWXM7C52ET987836,MINI,Hardtop,2014,Cooper S,Cooper S 2dr Hatchback,25038,,,,,,,,,,,,,,,,,,,,,,
5XXGR4A69DG118129,Kia,Optima,2013,SX,SX 4dr Sedan,41078,,,,,,,,,,,,,,,,,,,,,,
5UXZW0C55C0B88095,BMW,X5,2012,xDrive35d,AWD xDrive35d 4dr SUV,36644,,,,,,,,,,,,,,,,,,,,,,
1G6AG5RX2D0167594,Cadillac,ATS,2013,2.0T,AWD 2.0T 4dr Sedan,26294,,,,,,,,,,,,,,,,,,,,,,
WAUCGAFR3EA073155,Audi,S5,2014,,3T quattro Premium Plus 2dr Coupe 7A,21272,,,,,,,,,,,,,,,,,,,,,,
3TMJU4GN1FM178300,Toyota,Tacoma,2015,PreRunner V6,PreRunner V6 4dr Double Cab,15133,,,,,,,,,,,,,,,,,,,,,,
1FM5K8GT8EGC01119,Ford,Explorer,2014,Sport,Sport 4dr SUV All Wheel Drive,44479,,,,,,,,,,,,,,,,,,,,,,
2C3CDZC91FH834142,Dodge,Challenger,2015,SRT Hellcat,SRT Hellcat 2dr Coupe,4892,,,,,,,,,,,,,,,,,,,,,,
6G3F15RW5EL926611,Chevrolet,SS,2014,Base,Base 4dr Sedan,18734,,,,,,,,,,,,,,,,,,,,,,
SALWR2VF7EA306860,Land Rover,Range Rover Sport,2014,HSE,4x4 HSE 4dr SUV,36382,,,,,,,,,,,,,,,,,,,,,,
JN8AZ2ND3E9750887,Infiniti,QX80,2014,Base,4dr SUV,48345,,,,,,,,,,,,,,,,,,,,,,
3LN6L2G93DR827090,Lincoln,MKZ,2013,,4dr Sedan,27507,,,,,,,,,,,,,,,,,,,,,,
